А,Уровень,Параметры,Дата осмотра,Результат,Критерии,Максимальный балл
,Техническое состояние,"13. Соответствие номиналов предохранителей, автоматических выключателей токам, указанным в документации.",,0-1,0 - не соответствует                                                                                                           1 - соответствует,
,Техническое состояние,"14. Соответствие уровня масла в редукторе лебедки норме, указанной в документации.",,0-1,0 - не соответствует                                                                                                           1 - соответствует,
,Техническое состояние,15. Отсутствие течи масла через уплотнения редуктора.,,0-1,0 - присутствует                                                                                                                     1 - отсутствует,
,,,,,,
,Безопасность,1. Целостность грузов,,0-30,0 - нет                                                                                                                     30 - да,124
,Безопасность,2. Надежное крепление противовеса,,0-30,0 - не надежное                                                                                                                 30 - надежное,
,Безопасность,3. Надежное крепление кабины,,0-30,0 - не надежное                                                                                                                 30 - надежное,
,Безопасность,4. Отсутствие повреждений тягового каната /ремня/компенсирующей цепи,,0-30,0 - присутствует                                                                                                                     30 - отсутствует,
,Эстетика и сервис ,5. Чистота в приямке,,0-2,0 - сильные загрязнения                                                                                    1 - незначительные загрязнения                                                                                            2 - в отличном состоянии,
,Техническое состояние,6. Зазоры (кабина - противовес),,0-1,0 - есть                                                                                                                  1 - нет,
,Техническое состояние,7. Наличие смазки рабочих поверхностей.,,0-1,0 - отсутствует                                                                                                                  1 - присутствует,
,,,,,,
,Техническое состояние,1. Возможность освобождения путем дистанционного перезапуска системы.,,0-1,0 - нет возможности                                                                                                                  1 - есть возможность,1
,Техническое состояние,"2. Частота сбоев (каждый день, раз в месяц, год, без остановок)",,,,
,Техническое состояние,"3. Время простоев (минуты, часы, сутки)",,,,
,Техническое состояние,4. Затраты усилий и средств на восстановление,,,,
